Link,title,location,company,salary,summary,upload
https://kr.indeed.com/viewjob?jk=2642a83874ea6bab,"영상처리, 컴퓨터 비전 전문가 (신입/경력)",성남 수정구,에바,"연봉 30,000,000원 - 35,000,000원","인원 [담당업무] Python, C++, MFC, C를 이용하여 - OpenCV 로 Visual SLAM 개발- MFC, Python을 이용하여 GUI... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...",Posted14일 전
https://kr.indeed.com/viewjob?jk=0e25160b5a1d095f,[유통 대기업] Business Analyst(비지니스분석가) 과차장급,서울,에이치알니즈,,"이터 컨설팅 또는 비즈니스 컨설팅 경력 5년 이상 보유 -SQL, R, Python 중 1개 이상의 분석 도구 활용 경험 보유 -비지니스에 대한 문제... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=155996bae21250a5,"[Robotics] Robotics Software Engineer, Sensor System",서울,네이버,,"기술 분야의 학사 이상 학위 ㅇ 로봇 센서 시스템 디자인 혹은 센서 처리 모듈 개발 및 최적화 경험 ㅇ Python/C++ 활용 능숙 ㅇ ROS/ROS2를 활용한 개발 경험 ㅇ Ultrasonic, 2D/3D camera...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=b6d169aa029a45a6,[강남/스타트업] 에이스랩 자율주행 엔지니어,서울 강남구,에이스랩,,"공학 등 관련학사혹은 상응하는 지식- 프로그래밍 능력 (C/C++, python, etc)자세한 업무 및 자격 요건은 자사 홈페이지에서 확인 00 명... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=ae8564b6a7e63ad2,"시스템개발자(JAVA, JSP, MySQL)",서울 용산구,스피치로그,,"전자정부표준프레임워크), Java, jsp, jQuery, tiles, MyBatis, MySQL 등 Python - 크롤러 개발[자격요건]- 경력 : 4년 이상(대리, 과장급)- 학력 : 4년제 졸업[우대사항]- 전산학...",Posted3일 전
https://kr.indeed.com/viewjob?jk=a564ef713dce7f26,Sr. Network Engineer,서울,Harman International,,"certifications Programming experience... Go, C/C++, Python, or other languages desirable Implementation experience...",Posted7일 전
https://kr.indeed.com/viewjob?jk=891485cc2a8e6779,인공지능 솔루션 (AI Solution) 개발,서울 서초구,카이어,,Detection 등) 개발 경험• Python Library 사용 경험... 그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>인공지능(AI...,Posted22일 전
https://kr.indeed.com/viewjob?jk=8111c2d5817c3e0e,인공지능 (AI) 딥러닝 연구 개발자,서울 마포구,에스알유니버스,"연봉 30,000,000원 - 35,000,000원","초지식 및 경험자3. Python 및 Tensorflow, Pytorch, linux 사용 경험자4. Numpy, Pandas, librosa, ffmpeg, Dlib, OpenCV (for Python) 관련 경험 존재 5...",Posted24일 전
https://kr.indeed.com/viewjob?jk=f384026e8fdd4b35,솔루션(웹/서버/통신) 프로그램 개발,서울 중구,잇팩,,인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>음성인식,Posted30+일 전
https://kr.indeed.com/viewjob?jk=f42242989b39b5e1,자동차 전장 ADAS SW 분야 전문가,서울 강서구,LG전자,,multi-view geometry - 중급 이상 C/C++/ Python 개발 및 computer vision관련 tool 활용 가능... 트롤 - 중급 이상 C/C++/ Python/MATLAB 및 computer...,Posted3일 전
https://kr.indeed.com/viewjob?jk=ab58a5f77dd9c9c8,[NAVER Cloud] 빅데이터 분석 플랫폼 개발,성남 분당구,네이버클라우드,,빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>빅데이터|인터넷... 로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python,Posted27일 전
https://kr.indeed.com/viewjob?jk=88081c9ac030e577,데이터 엔지니어,서울 서초구,당근마켓,,높고 확장 가능한 데이터 아키텍처를 설계해요 이런 분을 찾고 있어요 Python / Java / Scala / Kotlin / Go 등 최소한 하나... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...,Posted30+일 전
https://kr.indeed.com/viewjob?jk=abcbb3282b50f027,Korea - Enterprise Data & Analytics Engineering Manager,서울,Nike,,"engineers with Python, Spark and SQL... Apache NiFi) •Demonstrated competence in Python, Spark... SQL •Proven expertise...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=bf4c86903450dee0,소프트웨어 개발자 (WebRTC UC & Collaboration Frontend & Backend Deve...,서울,Ericsson,,"Node.js, React.js, React-native, Python Preferred domain experience: Public Cloud... js, React-native, Python 선호 기술 분야: 퍼블릭 클라...",Posted13일 전
https://kr.indeed.com/viewjob?jk=d83fc0dd2641f483,전문연구요원 (병역특례) 수시 (AI / SW 분야),성남 분당구,딥엑스,"연봉 40,000,000원 - 100,000,000원",요구 능력] - ASM/C/C++/ Python 언어 코딩 기술 - 운영체제... 경험 - Windows/Linux 상에서 C++/ Python 언어 사용 개발 경험 - C++ / Python 언어 사용 개발 경험 - 객체지향 설계에...,Posted30+일 전
https://kr.indeed.com/viewjob?jk=3f1dd5ba441be16c,[TmaxEdu/R&D] 연구 개발자(2022년 상반기 신입 공채(Frontier 8기) 및 경력직),성남 분당구,티맥스소프트,,"CSS, JavaScript, TypeScript [Server 개발(사용 언어)] - Java, Python, SQL [Framework(사용 언어)] - React.js, Spring [입사 지원 시 참고 사항...",Posted8일 전
https://kr.indeed.com/viewjob?jk=5845bda17d17b7cf,PDM사업 경력사원 채용,서울,한화그룹,,"Net, Node.js, Python 중 한개 이상 개발 경험 [우대요건... 개발 알고리즘의 프로그래밍화 역량 Python, R 등 분석 툴을 사용한 분석 프로그램 개발 경험 ( Python 우대) 솔루션 또는 플랫폼 개발...",Posted4일 전
https://kr.indeed.com/viewjob?jk=aa2836bca0adca28,Business Analyst,서울,Numerix,,"engineering related research. • Broad working knowledge of Python, Excel (inc. automation skills), Relational DBs, SQL...",Posted15일 전
https://kr.indeed.com/viewjob?jk=b4a7ac21faba2e67,검색 인프라 엔지니어,서울 서초구,당근마켓,,"분을 찾고 있어요 널리 쓰이는 프로그래밍 언어(Golang, java, python, c++, javascript 등) 한 가지 이상에 능숙하신 분... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...",Posted30일 전
https://kr.indeed.com/viewjob?jk=3e1b8e1243910f18,eBeam System Engineer for R&D Extension Korea,경기도 화성,Applied Materials Inc.,,"organizations Capability & programing experience with MATLAB, Python, etc. Qualifications Education: Bachelor's Degree...",Posted30+일 전
