Link,title,location,company,salary,summary,upload
https://kr.indeed.com/viewjob?jk=15e487bdc42766df,Jr. Product Designer,서울 강남구,Soomgo,,"프로덕트 팀에 소속된 디자인 챕터는 숨고 Web(Desktop, Mobile Web), App(iOS, Android)을 고민하고 만들어갑니다. 숨고의 프로덕트 디자이너가 말하는 디자인의 가치 https://brunch.co...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=3c58bc3598f938ec,안드로이드 개발 / 앱 및 웹 개발 / 모바일 개발,서울 은평구,디지털커브,,"인크루트 이력서, 자유양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다. 인터넷·IT·통신·모바일·게임>응용프로그래머> Android|인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발",Posted30+일 전
https://kr.indeed.com/viewjob?jk=323ad0d3aafd904b,[주식회사 링크닷츠]모바일 앱 개발자(iOS/Android),안양 관양동,링크닷츠,,"iOS 앱 개발(Swift), Android 앱 개발(Kotlin) 2... 학력 대졸(2~3년) ~ 석사 키워드 [iOS ] [Swift ] [ Android ] [Kotlin ] [앱 ] 우대사항 우대사항 외국어능력 영어(상...",Posted4일 전
https://kr.indeed.com/viewjob?jk=9ccd8f884b67431a,모바일 게임 클라이언트 프로그래머,서울 노원구,놀게임즈,,Android /Ios 런칭 유경험자 유니티 엔진 사용 중급이상 2년이상 경력자 - 하루 7시간 근무. - 오후 티타임. 놀게임즈는 모바일 게임 개발사입니다. 현재 프로젝트는 unity엔진을 사용하여 Android런칭을...,Posted30+일 전
https://kr.indeed.com/viewjob?jk=82fee80b6c6e06e0,"전기차 충전기(하드웨어, 소프트웨어, 기구설계 외) 경력 정규직",경기도 광명,태성콘택,,"HMI) - 관제시스템, 결제시스템, 서버 연동 개발 - 안드로이드 앱 개발 경험자 - C++/C#./ Android 언어 개발 경험자 3. 기구 개발자 - 전기차 충전기 외함 설계 경험자 - 철제 외함 설계 가능자 - 프라스...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=8d27511a1de01dae,함께 성장할 프론트엔드 개발자,대한민국,오디코드,,"iOS 앱, Android 앱, javascript, Kotlin, JAVA, REST API를 이용한 프로젝트 경험[우대사항]ㆍiOS Native 앱 개발 경험 (Swift)ㆍ Android Native 앱 개발 경험...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=5af4afc8af817067,[(주)유스콘] 안드로이드 앱 개발자,서울 송파구,유스콘,,양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다. 인터넷·IT·통신·모바일·게임>응용프로그래머> Android|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA,Posted30+일 전
https://kr.indeed.com/viewjob?jk=a320f1de4b2555d4,신사업 경력직 채용[수소],서울 역삼동,현대글로비스,,"실무 프로젝트 경험 - React-Native, Flutter 등의 Framework 활용한 모바일(iOS/ Android) 개발 경험 - 성능 최적화 및 모바일/PC 환경 크로스 브라우징 경험(우대) - 유통/물류/모빌리티...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=f209e205842114a2,UI Designer (Fintech),성남 분당구,라인비즈플러스,,"개선 제안 및 신규 상품에 대한 설계 및 디자인 자격요건 3년 이상 UI Design 경험이 있으신 분 Android, iOS, Web 실무 환경에 대한 이해도가 높으신 분사용자 경험 중심의 UX/UI 설계하고 제작한 경험이...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=619f34c388babf3a,IPTV FrontEnd/BackEnd/Android/iOS/MSA/DevOps/개발PM 분야 (인재 Poo...,서울,LG유플러스,,R&R) - Android ① LG U+ 서비스의 Android 애플리케이... 라이브러리 작성 지원자격 및 우대사항 - 지원자격 ( Android) ① 5년 이상의 Android 개발 경력을 보유하신 분 ② Kotlin 기반의 앱...,Posted30+일 전
https://kr.indeed.com/viewjob?jk=fdd6f50bbad74249,[XR메타버스] 유니티(Unity3D) 리드 개발자 (3년차 이상),수원 영통구,리얼위드,,인터넷·IT·통신·모바일·게임>응용프로그래머>가상현실(VR)|인터넷·IT·통신·모바일·게임>응용프로그래머> Android|인터넷·IT·통신·모바일·게임>응용프로그래머>iOS|인터넷·IT·통신·모바일·게임>통신·모바일>스마트폰...,Posted3일 전
